SRR_ID,Organism,Study_Title,Is_Bacteria,URL
SRR30800169,Mus musculus,Base-editing corrects metabolic abnormalities in a humanized mouse model for glycogen storage disease type-Ia,False,https://www.ncbi.nlm.nih.gov/sra/SRR30800169
SRR30881769,Sturnus vulgaris,Population genetics and invasion history of the European Starling across Aotearoa; New Zealand: Batch 2 samples,False,https://www.ncbi.nlm.nih.gov/sra/SRR30881769
SRR30879469,Escherichia coli,Uropathogenic Escherichia coli (UPECs) producing extended-spectrum beta-lactamases (ESBLs),True,https://www.ncbi.nlm.nih.gov/sra/SRR30879469
SRR30810469,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2 Genome sequencing and assembly,False,https://www.ncbi.nlm.nih.gov/sra/SRR30810469
SRR30806869,soil metagenome,Competition and Facilitation between Moss and a Limestone_endemic Plant on Hainan Island,True,https://www.ncbi.nlm.nih.gov/sra/SRR30806869
SRR30881569,Mycobacterium tuberculosis,Whole genome sequencing of Mycobacterium sp as part of QMRL surveillance activities in Queensland; Australia Raw sequence reads,True,https://www.ncbi.nlm.nih.gov/sra/SRR30881569
SRR30852969,Salmonella enterica,PulseNet Salmonella enterica Genome sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30852969
SRR30875469,urine metagenome,human and rat kidney stone,True,https://www.ncbi.nlm.nih.gov/sra/SRR30875469
SRR30833669,Macaca mulatta,Enhanced Sensitivity Tagmentation-Assisted PCR Data,False,https://www.ncbi.nlm.nih.gov/sra/SRR30833669
SRR30884369,gut metagenome,Iberian Hare gut microbiota amplicon metagenome in areas of different agricultural management regimes Raw sequence reads,True,https://www.ncbi.nlm.nih.gov/sra/SRR30884369
SRR30812169,Homo sapiens,A heterodimer of hemoglobin identifies theranostic targets on brain-metastasizing melanoma cells,False,https://www.ncbi.nlm.nih.gov/sra/SRR30812169
SRR30812869,Salmonella enterica,PulseNet Salmonella enterica Genome sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30812869
SRR30854169,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2_sequencing,False,https://www.ncbi.nlm.nih.gov/sra/SRR30854169
SRR30883469,metagenome,Agricultural soil survey,True,https://www.ncbi.nlm.nih.gov/sra/SRR30883469
SRR30868369,Homo sapiens,The non-antibacterial effects of azithromycin and other macrolides on the bronchial epithelial barrier and cellular differentiation,True,https://www.ncbi.nlm.nih.gov/sra/SRR30868369
SRR30826569,Homo sapiens,Mapping diverse RNA modifications simulataneously by proximity barcode sequencing,False,https://www.ncbi.nlm.nih.gov/sra/SRR30826569
SRR30858869,bioreactor metagenome,Methane production from LCFA: assessing the biostimulation potential of seven kinds of stimulants,True,https://www.ncbi.nlm.nih.gov/sra/SRR30858869
SRR30869069,sediment metagenome,Mangrove sediment metagenome from different tidal levels,True,https://www.ncbi.nlm.nih.gov/sra/SRR30869069
SRR30847669,Salmonella enterica,PulseNet Salmonella enterica Genome sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30847669
SRR30806569,mouse gut metagenome,Vaginal microbiota Raw sequence reads,True,https://www.ncbi.nlm.nih.gov/sra/SRR30806569
SRR30865869,Escherichia coli O133:H29,Escherichia coli SENASICA MX,True,https://www.ncbi.nlm.nih.gov/sra/SRR30865869
SRR30805669,metagenome,Antimicrobial resistance study and metagenomic analysis in bacterial pneumonia by NGS,True,https://www.ncbi.nlm.nih.gov/sra/SRR30805669
SRR30808569,Scilla litardierei,Chouardia literdierei GWAS analysis,False,https://www.ncbi.nlm.nih.gov/sra/SRR30808569
SRR30857269,Homo sapiens,Directed evolution of engineered virus-like particles with improved production and transduction efficiencies,False,https://www.ncbi.nlm.nih.gov/sra/SRR30857269
SRR30870169,Homo sapiens,HLA-B gene from a Kuwaiti population,False,https://www.ncbi.nlm.nih.gov/sra/SRR30870169
SRR30885169,aquatic metagenome,16S amplicon sequencing data,True,https://www.ncbi.nlm.nih.gov/sra/SRR30885169
SRR30876569,Streptococcus pyogenes,Invasive group A streptococcus M1UK isolates collected in Canada from 2018-2023,True,https://www.ncbi.nlm.nih.gov/sra/SRR30876569
SRR30841869,Homo sapiens,Enhanced Sensitivity Tagmentation-Assisted PCR Data,False,https://www.ncbi.nlm.nih.gov/sra/SRR30841869
SRR30826969,metagenome,Upper respiratory tract microbiota across the human lifespan: a nationwide Dutch population study.,True,https://www.ncbi.nlm.nih.gov/sra/SRR30826969
SRR30810869,Salmonella enterica,PulseNet Salmonella enterica Genome sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30810869
SRR30876469,wastewater metagenome,South Florida - Rapid Acceleration of Diagnostics: Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad,True,https://www.ncbi.nlm.nih.gov/sra/SRR30876469
SRR30856869,Homo sapiens,Directed evolution of engineered virus-like particles with improved production and transduction efficiencies,False,https://www.ncbi.nlm.nih.gov/sra/SRR30856869
SRR30825469,Neisseria gonorrhoeae,GCWGS_SL Neisseria gonorrhoeae Genome Sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30825469
SRR30881669,Mycobacterium tuberculosis,Whole genome sequencing of Mycobacterium sp as part of QMRL surveillance activities in Queensland; Australia Raw sequence reads,True,https://www.ncbi.nlm.nih.gov/sra/SRR30881669
SRR30846069,Homo sapiens,Pre-vaccination transcriptomic profiles of immune responders to the MUC1 peptide vaccine for colon cancer prevention,False,https://www.ncbi.nlm.nih.gov/sra/SRR30846069
SRR30890969,Asparagus officinalis,GENETIC ARCHITECTURE OF ANTHOCYANIN PIGMENT TRAITS AND PURPLE SPOT (STEMPHYLLIUM VESICARIUM) RESISTANCE IN AN F1 PSEUDO-TESTCROSS POPULATION OF ASPARAGUS.,False,https://www.ncbi.nlm.nih.gov/sra/SRR30890969
SRR30811269,Influenza A virus,U.S. H5N1 clade 2.3.4.4b genotype B3.13 immediate releases related to emergence and spread in dairy cattle,False,https://www.ncbi.nlm.nih.gov/sra/SRR30811269
SRR30842869,Salmonella enterica,PulseNet Salmonella enterica Genome sequencing,True,https://www.ncbi.nlm.nih.gov/sra/SRR30842869
SRR30820469,Severe acute respiratory syndrome coronavirus 2,CDC's Traveler-Based Genomic Surveillance Program,False,https://www.ncbi.nlm.nih.gov/sra/SRR30820469
SRR30890469,Streptococcus pyogenes,Genome sequencing and assembly of special bacterial pathogens,True,https://www.ncbi.nlm.nih.gov/sra/SRR30890469
SRR30872269,food metagenome,Environmental microbiome mapping in poultry processing chain and assessment of microbial dynamics critical changes in response to different storage conditions,True,https://www.ncbi.nlm.nih.gov/sra/SRR30872269
SRR30801269,Mus musculus,NK cell cytotoxicity shapes the clonal evolution of B cell leukemia [ATAC-seq],False,https://www.ncbi.nlm.nih.gov/sra/SRR30801269
SRR30838769,Lolium multiflorum,Nested association mapping sequencing data,False,https://www.ncbi.nlm.nih.gov/sra/SRR30838769
SRR30855969,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 Genome sequencing,False,https://www.ncbi.nlm.nih.gov/sra/SRR30855969
SRR30829669,Mus musculus,Deletion of Xist repeat B disrupts cell cycle and asymmetric cell division through Usp9x hyperactivation in mice,False,https://www.ncbi.nlm.nih.gov/sra/SRR30829669
SRR30888169,Vibrio parahaemolyticus,NZ Vibrio parahaemolyticus Genome sequencing and assembly,True,https://www.ncbi.nlm.nih.gov/sra/SRR30888169
SRR30817769,Zostera marina,Zostera marina 2bRAD sequencing for genetic diversity baseline,False,https://www.ncbi.nlm.nih.gov/sra/SRR30817769
SRR30850069,Campylobacter jejuni,Campylobacter Genome sequencing and assembly,True,https://www.ncbi.nlm.nih.gov/sra/SRR30850069
SRR30875369,urine metagenome,human and rat kidney stone,True,https://www.ncbi.nlm.nih.gov/sra/SRR30875369
SRR30846169,canine gut metagenome,Long-Term Evaluation of the Fecal Microbiota in Dogs with CE Treated with FMT,True,https://www.ncbi.nlm.nih.gov/sra/SRR30846169
